time 3g 6g 9g 12g
calculation-time 335.028644786 251.661508282 216.370894475 225.152877051
read-time 169.42003894 168.9476871 168.34138678 168.5626145
write-time 843.16746308 847.0346977 774.78005752 752.29763522
seek-time 0.0162879944 0.009609318 0.0080096246 0.0058150292
