#time calculation_time read_time write_time seek_time total_time_error
3g 350.718592285 620.98815188 682.00648998 0.0165008546 4.53995234747 
6g 264.839034233 621.87458468 677.67425304 0.0095428466 2.96224892727 
9g 231.805301191 621.60625362 677.79352744 0.0660933492 4.24062678641 
12g 234.350301468 623.09165162 677.04466776 0.0058495522 6.27821795489 
