#read #write #seek #number_of_seek #total #read #write #seek #number_of_seek #total #read #write #seek #number_of_seek #total #read #write #seek #number_of_seek #total
621.4615119 679.1259613 0.016485453 776 1662.391835 621.4643245 675.9039276 0.009508848 438 1568.945306 621.9473963 678.0661306 0.04597187 334 1539.418309 622.5879121 680.8054671 0.005794048 257 1530.558444
620.4906509 681.8922381 0.016218424 776 1652.062087 621.9908662 677.430151 0.009486675 438 1565.173086 621.6932566 675.322813 0.06572175 334 1527.593655 623.3193123 680.0188396 0.005794287 257 1542.325071
620.4352214 679.2054448 0.016204357 776 1649.455156 621.5144491 678.3083117 0.009496212 438 1565.518359 622.1525161 678.490659 0.065737486 334 1531.111174 623.6735435 673.0809534 0.005804539 257 1540.232509
620.489501 685.623203 0.01678586 776 1651.09075 621.1379721 677.7554717 0.00961113 438 1561.707733 620.4938848 679.9737353 0.089280128 334 1529.709102 622.5927157 671.2319443 0.006063223 257 1534.192812
622.0638742 684.1856027 0.016810179 776 1653.648847 623.2653115 678.9734032 0.009611368 438 1560.64259 621.7442143 677.1142993 0.063755512 334 1528.523638 623.2847745 680.0861344 0.005791664 257 1525.153516
