#time calculation_time read_time write_time seek_time total_time_error
3g 335.028644786 169.42003894 843.16746308 0.0162879944 28.9297999536 
6g 251.661508282 168.9476871 847.0346977 0.009609318 44.6201793389 
9g 216.370894475 168.34138678 774.78005752 0.0080096246 96.5532167565 
12g 225.152877051 168.5626145 752.29763522 0.0058150292 69.1944625788 
