time 3g 6g 9g 12g
calculation-time 350.718592285 264.839034233 231.805301191 234.350301468
read-time 620.98815188 621.87458468 621.60625362 623.09165162
write-time 682.00648998 677.67425304 677.79352744 677.04466776
seek-time 0.0165008546 0.0095428466 0.0660933492 0.0058495522
