#6g_hhd_readtime,6g_hhd_seektime,6g_hhd_defragtime,6g_hhd_writetime,6g_hhd_totaltime,9g_hhd_readtime,9g_hhd_seektime,9g_hhd_defragtime,9g_hhd_writetime,9g_hhd_totaltime,12g_hhd_readtime,12g_hhd_seektime,12g_hhd_defragtime,12g_hhd_writetime,12g_hhd_totaltime
1416.055918,0.000352859,155.7448511,545.6567206,2279.947873,1201.712837,0.259335041,157.9564199,740.4280989,2279.271938,1530.450222,1.306985855,192.773901,1365.782736,3299.767426
1431.189005,0.000355005,156.9343588,539.7968309,2286.231645,1210.430588,0.261734962,158.9001768,747.6972673,2298.016262,1505.220707,1.312386036,190.87519,1373.444122,3278.196725
1467.251624,0.000360012,130.6331062,594.3178804,2344.116835,1178.802703,0.000231504,112.8454974,763.85127,2192.160939,1544.47246,0.000192881,155.6291549,1377.506711,3265.742383
1472.382231,0.000359297,130.7685716,599.8329151,2352.294255,1212.692286,0.000237465,112.6947484,1680.151685,3136.191728,1526.749687,0.07291913,297.5187728,1352.773617,3363.916536
1479.356577,0.000351191,130.4107327,601.0705018,2359.987396,1174.283129,0.000233889,109.926796,752.1736298,2166.538339,1598.568069,0.100641727,299.7498708,1290.839581,3374.227799
1434.612275,0.000345945,218.3550999,518.5632482,2325.159409,1170.05995,0.013510466,207.6818659,683.0517557,2189.824984,1591.726747,0.571756124,299.856843,1312.946927,3395.423044
1424.586883,0.000339031,214.9235103,522.8113287,2311.931352,1164.945606,0.128600121,208.1912913,681.230377,2183.728757,1613.963311,1.095021963,297.746655,1302.014171,3396.521664
1489.817052,0.000334024,219.5019434,556.5376849,2412.993825,1156.737567,0.017124176,210.4328589,678.5861621,2170.376754,1591.791809,1.322859526,302.303329,1302.492651,3381.450627
1427.970249,0.000339031,215.7764716,521.9233232,2312.187543,1162.008199,0.011612415,214.3238931,762.0084021,2264.415492,1582.639682,0.798179865,300.6536622,1345.649458,3423.474408
1427.244637,0.000352383,216.7465332,519.4148269,2308.416252,1176.141907,0.013148308,211.0311282,693.9358203,2214.510253,1569.179648,1.318947077,296.8319981,1339.811693,3384.554427
