mem "Naive blocks" NBR "Naive slices" NSR "Cluster reads" CRR "Multiple reads" MRR "Buffered slices " BSR
0.6 0 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 1653.729735 4.53995234747 0 0
6 0 0 0 0 0 0 1564.3974148 2.96224892727 0 0
9 0 0 0 0 0 0 1531.2711756 4.24062678641 0 0
12 0 0 0 0 0 0 1534.4924704 6.27821795489 0 0
16 0 0 0 0 0 0 0 0 0 0
