mem "Naive blocks" NBR "Naive slices" NSR "Cluster reads" CRR "Multiple reads" MRR "Buffered slices " BSR
0.6 0 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 1347.6324348 28.9297999536 0 0
6 0 0 0 0 0 0 1267.6535024 44.6201793389 0 0
9 0 0 0 0 0 0 1159.5003484 96.5532167565 0 0
12 0 0 0 0 0 0 1146.0189418 69.1944625788 0 0
16 0 0 0 0 0 0 0 0 0 0
