mem "Naive blocks" NBR "Naive slices" NSR "Cluster reads" CRR "Multiple reads" MRR "Buffered slices " BSR
0.6 4891.8702388 214.137186944 720.20814562 26.2472802419 0 0 0 0 0 0
3 0 0 0 0 2176.016947 90.2538120566 1034.7169526 20.0500886933 696.0489984 16.2731620429
6 0 0 0 0 1568.0207596 65.9679200541 885.4669384 6.49942255992 677.64203706 8.50741693269
9 0 0 0 0 1830.1922982 77.6301801475 847.61483 9.91135882388 671.53256616 10.2617406842
12 0 0 0 0 1353.9356878 106.921391399 822.51895976 27.024236355 660.2812178 8.85591065552
16 0 0 0 0 956.50529424 71.823944738 0 0 0 0
