time 3g 6g 9g 12g
calculation-time 769.742832288 679.088597082 647.637643409 633.468394002
read-time 149.4728101 150.94148005 148.607875217 148.907078317
write-time 704.854242967 651.261642117 616.8158764 598.305330217
seek-time 0.00149981166667 0.000817418 0.0005838075 0.000436465
