#ssd: 3g-read,3g-write,3g-seek,3g-numerofseeks,3g-total,#ssd: 6g-read,6g-write,6g-seek,6g-numerofseeks,6g-total,#ssd: 9g-read,9g-write,9g-seek,9g-numerofseeks,9g-total,#ssd: 12g-read,12g-write,12g-seek,12g-numerofseeks,12g-total
107.5730004,519.3470244,0.001443148,776,1048.941418,106.8420949,455.4826126,0.00077486,438,888.7383671,106.8181953,439.6115279,0.000558853,334,852.1561379,107.3035138,470.8604434,0.000405312,262,873.4420741
105.4569995,494.2963903,0.001471043,776,1013.517898,105.4344735,467.9828658,0.000787735,438,895.4819219,105.9281302,437.6485612,0.000578642,334,847.2971208,106.010592,420.9163432,0.00043273,262,814.3247268
100.2038722,534.5227163,0.001462698,776,1066.906173,101.2739263,452.5995729,0.000755548,438,881.1160481,99.9644196,450.5790641,0.000546932,334,859.8468511,100.8349214,410.2124932,0.000433922,262,797.49436
101.1925099,494.1338058,0.001507759,776,1023.569128,101.1342006,456.6150606,0.000798225,438,885.5466111,100.8696122,442.4227684,0.000563145,334,849.016005,101.1553009,433.3181934,0.000435114,262,823.871875
101.9964042,491.3995843,0.00147295,776,1020.650146,101.3111205,447.1235662,0.000793695,438,876.4517438,101.2376897,424.6233506,0.000560522,334,829.7580352,101.0610886,415.2826121,0.000460148,262,803.4617629
