#time calculation_time read_time write_time seek_time total_time_error
naive-block 84.87303301 1679.9422391 150.27027077 630.39525712 101.716415939
3g 769.742832288 149.4728101 704.854242967 0.00149981166667 31.7683413266 
6g 679.088597082 150.94148005 651.261642117 0.000817418 51.0930430699 
9g 647.637643409 148.607875217 616.8158764 0.0005838075 1.84094490305 
12g 633.468394002 148.907078317 598.305330217 0.000436465 3.35730941632 
naive-slice 18.900160997 1217.7973248 111.466414203 0.0 157.731749875
