time 3g 6g 9g 12g
calculation-time 424.69101962 326.306257607 305.673604541 289.127425915
read-time 103.28455724 103.19916316 102.9636094 103.27308334
write-time 506.73990422 455.96073562 438.97705444 430.11801706
seek-time 0.0014715196 0.0007820126 0.0005616188 0.0004334452
