#time calculation_time read_time write_time seek_time total_time_error
naive-block 135.51860979 2165.7290225 111.15320713 571.24166058 154.429361709
3g 424.69101962 103.28455724 506.73990422 0.0014715196 20.0500886933 
6g 326.306257607 103.19916316 455.96073562 0.0007820126 6.49942255992 
9g 305.673604541 102.9636094 438.97705444 0.0005616188 9.91135882388 
12g 289.127425915 103.27308334 430.11801706 0.0004334452 27.024236355 
naive-slice 12.636059312 1172.101561 84.243379688 0.0 32.791941812
